10100000,Narodowy Bank Polski,Centrala,ul. Świętokrzyska 11/21,00-919Warszawa,22 185 10 10,MAZOWIECKIE,Warszawa
10100039,Narodowy Bank Polski,Centrala - Departament Systemu Płatniczego,ul. Świętokrzyska 11/21,00-919Warszawa,22 620 83 38,MAZOWIECKIE,Warszawa
10100055,Narodowy Bank Polski,Centrala - B2B Collect,ul. Świętokrzyska 11/21,00-919Warszawa,22 185 10 10,MAZOWIECKIE,Warszawa
10100068,Narodowy Bank Polski,Centrala - NBPCollect,ul. Świętokrzyska 11/21,00-919Warszawa,22 185 10 10,MAZOWIECKIE,Warszawa
10100071,Narodowy Bank Polski,Centrala - B2B-2,ul. Świętokrzyska 11/21,00-919Warszawa,22 185 10 10,MAZOWIECKIE,Warszawa
10101010,Narodowy Bank Polski,Oddział Okręgowy w Warszawie,pl. Powstańców Warszawy 4,00-950Warszawa,22 185 10 03,MAZOWIECKIE,Warszawa
10101023,Narodowy Bank Polski,Oddział Okręgowy w Warszawie - Rozliczenia ZUS,pl. Powstańców Warszawy 4,00-950Warszawa,22 185 10 03,MAZOWIECKIE,Warszawa
10101049,Narodowy Bank Polski,Oddział Okręgowy w Białymstoku,ul. Piękna 1,15-282Białystok,22 108 58 01,PODLASKIE,Białystok
10101078,Narodowy Bank Polski,Oddział Okręgowy w Bydgoszczy,ul. Jagiellońska 8,85-067Bydgoszcz,22 180 23 09,KUJAWSKO-POMORSKIE,Bydgoszcz
10101140,Narodowy Bank Polski,Oddział Okręgowy w Gdańsku,ul. Okopowa 1,80-958Gdańsk,22 185 85 09,POMORSKIE,Gdańsk
10101212,Narodowy Bank Polski,Oddział Okręgowy w Katowicach,ul. Bankowa 1,40-007Katowice,22 183 21 02,ŚLĄSKIE,Katowice
10101238,Narodowy Bank Polski,Oddział Okręgowy w Kielcach,ul. Warszawska 46,25-312Kielce,22 184 11 27,ŚWIĘTOKRZYSKIE,Kielce
10101270,Narodowy Bank Polski,Oddział Okręgowy w Krakowie,ul. Basztowa 20,30-960Kraków,22 181 21 68,MAŁOPOLSKIE,Kraków
10101339,Narodowy Bank Polski,Oddział Okręgowy w Lublinie,ul. Chopina 6,20-026Lublin,22 108 16 02,LUBELSKIE,Lublin
10101371,Narodowy Bank Polski,Oddział Okręgowy w Łodzi,al. Tadeusza Kościuszki 14,90-950Łódź,22 184 27 04,ŁÓDZKIE,Łódź
Narodowy Bank Polski,103,10101397Oddział Okręgowy w Olsztynie,Olsztyn,al. Marszałka J. Piłsudskiego 11/17 10-575Olsztyn,22 108 95 00,22 108 95 06,1989-01-01NBPLPLPWXXXNBPLPLPWXXXwww.nbp.pl,WARMIŃSKO-MAZURSKIE Olsztyn
10101401,Narodowy Bank Polski,Oddział Okręgowy w Opolu,ul. ks. Konstantego Damrota 2b,45-950Opole,22 187 75 50,OPOLSKIE,Opole
10101469,Narodowy Bank Polski,Oddział Okręgowy w Poznaniu,al. Marcinkowskiego 12,60-967Poznań,22 186 12 62,WIELKOPOLSKIE,Poznań
10101528,Narodowy Bank Polski,Oddział Okręgowy w Rzeszowie,ul. 3 Maja 12,35-959Rzeszów,22 181 72 33,PODKARPACKIE,Rzeszów
10101599,Narodowy Bank Polski,Oddział Okręgowy w Szczecinie,ul. Teofila Starzyńskiego 1,70-506Szczecin,22 189 15 24,ZACHODNIOPOMORSKIE,Szczecin
10101674,Narodowy Bank Polski,Oddział Okręgowy we Wrocławiu,ul. Ofiar Oświęcimskich 41/43,50-059Wrocław,22 187 13 04,DOLNOŚLĄSKIE,Wrocław
